ID,Text,Comment
LV.MBR.ManufactoryGroup,"Productions",
LV.MBR.WoodBuildingsImprovementDesc,"{0:+0%} Working Speed.
Only for: Lumbermills, Gear Workshops, and Wood Workshops.",
LV.MBR.WoodBuildingsImprovement1,"Heartwood Edge",
LV.MBR.WoodBuildingsImprovement1Flavor,"The grain sings when the Heartwood spins true.",
LV.MBR.WoodBuildingsImprovement2,"Steadyframe",
LV.MBR.WoodBuildingsImprovement2Flavor,"'No more chasing the wood. The wood comes to you.' — Joiner Willow",
LV.MBR.WoodBuildingsImprovement3,"Harmony Join",
LV.MBR.WoodBuildingsImprovement3Flavor,"Tools that feel like an extension of the beaver's own paws.",
LV.MBR.InventorExtraScience,"Catalyst Infusion",
LV.MBR.InventorExtraScienceDesc,"For the next {0:0.0} hours, gain {1:+0} Science points for each Science point produced by this building. Repeatable once expired.",
LV.MBR.InventorExtraScienceFlavor,"A carefully measured draft of pure insight, mixed with the clearest spring water. One dose sharpens every thought for a limited time.",
LV.MBR.InventorExtraScienceBuff,"{0:+0} Science points for each Science point produced by this building.",
LV.MBR.ObservatoryPassive,"Lunar Ledger",
LV.MBR.ObservatoryPassiveDesc,"Automatically gain {0:+0} Science each hour at night. Works independently of workers and power.",
LV.MBR.ObservatoryPassiveFlavor,"'The night never stops teaching. Now we finally listen while we sleep.' — Elder Astronomer Willow",
LV.MBR.NumbercruncherSubmerge,"Deepcool Core",
LV.MBR.NumbercruncherSubmergeDesc,"{0:+0%} extra Science points produced while the Numbercrunchers is fully submerged in water.",
LV.MBR.NumbercruncherSubmergeFlavor,"Cool water is the Numbercruncher's favorite lubricant. Fully submerged, it thinks faster than the current.",
LV.MBR.AgricultureGroup,"Agriculture",
LV.MBR.PlantsSpeedIdle,"Growth Calendar",
LV.MBR.PlantsSpeedDescCommon,"While a worker is idle in this building, plants within the building's range grow {0:+0%} faster. Multiple Growth Calendar bonuses do not stack.
Only for: Farmhouse variants, Foresters, Lumberjack Flags, Gatherer Flags, and Tapper Shacks.",
LV.MBR.PlantsSpeedDescExtra.Crops,"● This building affects Crops such as Carrots or Cassava.",
LV.MBR.PlantsSpeedDescExtra.Trees,"● This building affects Trees such as Oak and Bushes such as Blueberry Bush.",
LV.MBR.PlantsSpeedDescExtra.TreeProducts,"● This building affects Tree products such as Pine Resin.",
LV.MBR.PlantsSpeedDescExtra.BushProducts,"● This building affects Bush products such as Berries or Coffee.",
LV.MBR.PlantsSpeedFlavor,"A simple wooden calendar hung inside the building. Idle beavers glance at it and suddenly know exactly what the plants need next.",
LV.MBR.PlantsSpeedBuffNoWorker,"When a worker is idle, {0}",
LV.MBR.PlantsSpeedBuffWithWorker,"Because a worker is idle, {0}",
LV.MBR.PlantsSpeedBuff.Crops,"{1} crops grow {0:+0%} faster.",
LV.MBR.PlantsSpeedBuff.Trees,"{1} trees grow {0:+0%} faster.",
LV.MBR.PlantsSpeedBuff.TreeProducts,"{1} tree products grow {0:+0%} faster.",
LV.MBR.PlantsSpeedBuff.BushProducts,"{1} bush products grow {0:+0%} faster.",
LV.MBR.PlantingSpeed1,"Wooden Dibbler",
LV.MBR.PlantingSpeed1Desc,"{0:+0%} Planting Speed for {1:0} days",
LV.MBR.PlantingSpeed1Flavor,"A simple wooden tool that makes every hole feel just right. It won't last forever, but while it does, the soil yields gladly.",
LV.MBR.PlantingSpeed2,"Ironseed Dibbler",
LV.MBR.PlantingSpeed2Desc,"{0:+0%} Planting Speed for {1:0} days. <RedHighlight>Remove Wooden Dibbler effect if present.</RedHighlight>",
LV.MBR.PlantingSpeed2Flavor,"Heavier in the paw, lighter on the work. The Ironseed Dibbler eventually grows on you",
LV.MBR.PlantingSpeedBuff,"{0:+0%} Planting Speed.",
LV.MBR.HarvestSpeed1,"Wooden Flail",
LV.MBR.HarvestSpeed1Desc,"{0:+0%} Harvesting Speed for {1:0} days",
LV.MBR.HarvestSpeed1Flavor,"It won't last forever, but while the shafts hold, the beavers swing it with joy.",
LV.MBR.HarvestSpeed2,"Ironleaf Scythe",
LV.MBR.HarvestSpeed2Desc,"{0:+0%} Harvesting Speed for {1:0} days. <RedHighlight>Remove Wooden Flail effect if present.</RedHighlight>",
LV.MBR.HarvestSpeed2Flavor,"When the Ironleaf Scythe is hung up for the night, even the remaining stalks seem to stand a little taller in respect.",
LV.MBR.HarvestSpeedBuff,"{0:+0%} Harvesting Speed.",
LV.MBR.LogisticsGroup,"Logistics",
LV.MBR.BuilderHaulerSpeedBoost,"Fulcrum Rig",
LV.MBR.BuilderHaulerSpeedBoostDesc,"Workers gain {0:+0%} Carrying Capacity and {1:+0%} Movement Speed.
Only for: Hauling Posts, District Centers, and Builders' Huts.",
LV.MBR.BuilderHaulerSpeedBoostFlavor,"'Give me a lever long enough and a fulcrum on which to place it, and I shall move the forest.' — Archibeaves",
