ID,Text,Comment
LV.BCEv.StartBonusWaterfall,"A Clear Fall",
LV.BCEv.StartBonusWaterfall.Content,"The colony reaches the foot of the great waterfall, where clean water crashes down from the heights and gathers in bright, restless pools.
The air is cool with mist. Moss clings to the stone, and every beaver can hear the steady promise of the stream before the first path is even marked.
The scouts find a narrow basin where fresh water has collected, untouched and easy to draw. It could fill the colony's barrels at once.
Or it could be left undisturbed, for reasons no one fully understands yet.",
LV.BCEv.StartBonusWaterfall.C1,"Fill the barrels",
LV.BCEv.StartBonusWaterfall.C1N,"[[C]]Fresh waterfall water is gathered before work begins. [[+]]+[[good:{S1}:{I1}]]",
LV.BCEv.StartBonusWaterfall.C2,"Leave the spring untouched",
LV.BCEv.StartBonusWaterfall.C2N,"[[C]]The colony leaves the clear basin as it was.",
LV.BCEv.FirstDroughtWaterfall,"The Spring Beneath the Stone",
LV.BCEv.FirstDroughtWaterfall.Content,"The first drought arrives with a dry wind.
Across the colony, the river weakens. Channels shrink, mud cracks along the banks, and beavers gather near the gauges with worried tails.
But near the waterfall, one clear basin does not fail.
The pool left untouched at the colony's founding still seeps from beneath the stone. No one knows whether it is fed by hidden pressure, old roots, or some deep pocket of water the drought has not reached.
The scouts lower their paws into the cool stream and stare at one another in silence.
What was spared before now spares the colony.
[[C]][[+]]One water source remains active during the first drought",
LV.BCEv.FirstDroughtWaterfall.BuffTitle,"Spring Beneath the Stone",
LV.BCEv.FirstDroughtWaterfall.BuffDesc,"This water source keeps flowing through this drought.",
LV.BCEv.DisabledNoResource," <RedHighlight>Not enough resources.</RedHighlight>",
LV.BCEv.BadtideDrainStudy,"The Drain Beneath the Drain",
LV.BCEv.BadtideDrainStudy.Content,"Every Badtide, the corner drain wakes again.
It rumbles beneath the stone, then spills badwater into the land as if the earth itself has learned to poison the colony.
Most beavers keep their distance.
One scientist does not.
After many measurements, sketches, and sleepless nights, the scientist returns with a strange claim: the drain is not only a drain. Something hooman-made is buried beneath it, connected to the old structure in ways no one fully understands.
The markings are damaged, but one meaning seems clear.
Whatever is buried there was built to stop the drain forever.
The first survey will take time, but the scientist says better instruments and old calculations could shorten whatever work remains.",
LV.BCEv.BadtideDrainStudy.C1,"Look into it",
LV.BCEv.BadtideDrainStudy.C1N,"[[C]]Begin the study. [[time:{F1}d]].
[[C]]During the study, pay [[good:{S2}:{I1}]] to reduce the remaining time by two thirds.",
LV.BCEv.BadtideDrainStudy.Panel,"The drain study is underway. Pay [[good:{S2}:{I1}]] at any time to reduce the remaining study time by two thirds.",
